# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-8621
# Selected columns: 7 (all)
# Timestamp: Tue, 29-Apr-2025 09:45:43
Gene ID	Gene Name	14 minute	20 minute	92 minute	102 minute	132 minute	142 minute	162 minute
ETS1-1	ETS1-1	69.0	72.0	14.0	9.0	11.0	8.0	13.0
ETS1-2	ETS1-2	3.0	2.0	0.2	0.3	0.3		
ETS2-1	ETS2-1	5.0	8.0	4.0	2.0	5.0	3.0	6.0
HRA1	HRA1	2.0	3.0	0.5	0.4	0.4		0.3
ICR1	ICR1	2.0	2.0	3.0	3.0	3.0	3.0	4.0
IRT1	IRT1	15.0	15.0	6.0	4.0	4.0	5.0	13.0
ITS1-1	ITS1-1	0.5	1.0	0.7				
ITS2-1	ITS2-1	9.0	7.0	2.0	2.0	3.0	2.0	0.9
LSR1	LSR1	42.0	40.0	12.0	11.0	12.0	11.0	17.0
NME1	NME1	6.0	7.0	6.0	6.0	2.0	5.0	4.0
Q0020	15S_RRNA	3.0	1.0	3.0	0.7	0.7	0.5	2.0
Q0045	COX1	0.3		0.1				
Q0050	AI1	1.0	0.4	1.0	0.2		0.2	0.7
Q0055	AI2	0.7	0.2	0.6	0.2		0.2	0.7
Q0085	ATP6							0.4
Q0105	COB				0.2			
Q0130	OLI1	1.0		1.0				
Q0158	21S_RRNA	5.0	2.0	4.0	2.0	1.0	1.0	3.0
Q0160	SCEI			0.2				
Q0250	COX2	0.1		0.2				
Q0275	COX3	2.0	0.6	0.2	0.2			
RDN5-1	RDN5-1	34.0	19.0	18.0	23.0	28.0	15.0	23.0
RME2	RME2	1.0	1.0	1.0	1.0	1.0	0.9	1.0
RNA170	RNA170	14.0	21.0	13.0	12.0	15.0	11.0	7.0
RPR1	RPR1	20.0	21.0	9.0	5.0	4.0	3.0	2.0
RUF20	RUF20	34.0	35.0	31.0	28.0	28.0	29.0	29.0
RUF21	RUF21	2.0	1.0	4.0	4.0	3.0	3.0	0.7
